                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.65642,                0.61096,                 1.0755,                0.66787,                0.45278,                0.54055,                0.38714,                 1.2656,                  1.723,                 1.6728,              0.0008067,              0.0008067,              0.0008067
                     86,                0.64695,                0.60713,                 1.0687,                0.49706,                0.50216,                0.50779,                0.36105,                 1.2527,                 1.7815,                 1.6596,             0.00080303,             0.00080303,             0.00080303
                     87,                0.65195,                0.59628,                 1.0834,                0.66528,                0.47588,                0.54757,                0.38844,                 1.2439,                 1.6382,                 1.6645,             0.00079936,             0.00079936,             0.00079936
                     88,                0.65958,                0.63042,                 1.0705,                0.61364,                0.49022,                0.54271,                0.38123,                 1.3145,                 1.7053,                 1.7208,              0.0007957,              0.0007957,              0.0007957
                     89,                 0.6376,                0.60791,                 1.0675,                0.59572,                0.52757,                0.50788,                0.36702,                 1.2637,                 1.8356,                 1.6831,             0.00079203,             0.00079203,             0.00079203
                     90,                0.62978,                0.59243,                 1.0537,                0.64447,                0.50839,                0.54445,                0.39134,                 1.2572,                 1.7216,                 1.6931,             0.00078837,             0.00078837,             0.00078837
                     91,                0.62213,                0.59632,                 1.0558,                0.62451,                 0.4972,                0.51327,                0.37252,                 1.2304,                  1.805,                 1.6337,              0.0007847,              0.0007847,              0.0007847
                     92,                0.63214,                0.59673,                 1.0601,                0.63425,                0.46084,                0.50979,                0.37348,                  1.322,                 1.8704,                 1.7421,             0.00078103,             0.00078103,             0.00078103
                     93,                0.63603,                0.59528,                 1.0571,                0.55057,                0.44679,                0.48083,                0.34758,                 1.3109,                 1.7795,                 1.7386,             0.00077737,             0.00077737,             0.00077737
                     94,                0.61201,                0.57162,                 1.0531,                0.53578,                0.49122,                0.51156,                0.36608,                 1.2716,                 1.9299,                 1.6325,              0.0007737,              0.0007737,              0.0007737
                     95,                0.61954,                0.57243,                 1.0513,                0.60214,                0.50516,                0.50107,                 0.3604,                 1.2678,                 1.8215,                 1.6658,             0.00077003,             0.00077003,             0.00077003
                     96,                0.62391,                0.57978,                 1.0484,                0.62893,                 0.5439,                0.55483,                0.39816,                 1.2597,                 1.7792,                  1.664,             0.00076637,             0.00076637,             0.00076637
                     97,                0.62677,                0.58385,                 1.0625,                0.64517,                0.47525,                0.50522,                0.33034,                 1.4003,                 1.9735,                 1.8043,              0.0007627,              0.0007627,              0.0007627
                     98,                 0.6258,                0.59134,                 1.0609,                0.61981,                0.42868,                0.49496,                0.34858,                  1.247,                 1.8567,                 1.6742,             0.00075904,             0.00075904,             0.00075904
                     99,                0.62798,                0.56929,                 1.0615,                0.57435,                 0.4877,                0.53831,                0.36985,                 1.3379,                 2.0146,                 1.7903,             0.00075537,             0.00075537,             0.00075537
                    100,                0.61427,                0.56201,                 1.0519,                0.63014,                0.54833,                0.52118,                0.36353,                 1.3532,                 1.7338,                 1.7443,              0.0007517,              0.0007517,              0.0007517
                    101,                0.62168,                0.55975,                 1.0429,                0.61463,                0.53183,                0.53579,                 0.3878,                 1.2509,                 1.8262,                 1.6579,             0.00074804,             0.00074804,             0.00074804
                    102,                0.62485,                0.56498,                 1.0502,                0.64101,                  0.574,                0.59217,                0.42627,                 1.2496,                 1.5769,                 1.6537,             0.00074437,             0.00074437,             0.00074437
                    103,                0.61034,                0.56432,                 1.0545,                0.64183,                0.55043,                0.59288,                0.43912,                 1.2131,                 1.6566,                 1.6514,              0.0007407,              0.0007407,              0.0007407
