                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.21603,                0.17239,                0.88832,                0.99933,                      1,                  0.995,                0.99352,                0.11336,                 0.1013,                0.77862,               0.005281,               0.005281,               0.005281
                    145,                0.20977,                  0.173,                0.87908,                0.99942,                      1,                  0.995,                0.99478,                0.10296,                0.09569,                0.76782,               0.005248,               0.005248,               0.005248
                    146,                0.21229,                0.17194,                0.88109,                0.99942,                      1,                  0.995,                0.99403,                0.10373,                0.09733,                0.77248,               0.005215,               0.005215,               0.005215
                    147,                0.21117,                0.17476,                0.88229,                0.99945,                      1,                  0.995,                0.99489,                0.10949,                0.10151,                0.77949,               0.005182,               0.005182,               0.005182
                    148,                0.21157,                0.17132,                0.88166,                0.99936,                      1,                  0.995,                  0.995,                0.10685,                0.09386,                0.77577,               0.005149,               0.005149,               0.005149
                    149,                 0.2139,                0.17691,                0.87821,                0.99946,                      1,                  0.995,                  0.995,                0.11026,                0.10362,                0.78175,               0.005116,               0.005116,               0.005116
                    150,                 0.2139,                0.17588,                0.88756,                 0.9987,                      1,                  0.995,                  0.995,                0.11167,                 0.1069,                0.78106,               0.005083,               0.005083,               0.005083
                    151,                 0.2083,                0.17321,                0.87882,                 0.9994,                      1,                  0.995,                0.99483,                0.11434,                0.10273,                0.78049,                0.00505,                0.00505,                0.00505
                    152,                0.20499,                0.17019,                0.88251,                0.99934,                      1,                  0.995,                  0.995,                0.10585,                0.10041,                0.77773,               0.005017,               0.005017,               0.005017
                    153,                0.20324,                0.17336,                0.88294,                0.99935,                      1,                  0.995,                0.99365,                 0.1083,                0.09747,                0.77706,               0.004984,               0.004984,               0.004984
                    154,                0.20131,                0.17091,                0.87372,                0.99928,                      1,                  0.995,                  0.995,                0.10423,                0.09584,                0.77783,               0.004951,               0.004951,               0.004951
                    155,                0.20372,                0.16948,                0.88138,                0.99938,                      1,                  0.995,                  0.995,                0.10603,                0.10343,                0.78101,               0.004918,               0.004918,               0.004918
                    156,                0.20519,                0.17246,                0.87784,                0.99913,                      1,                  0.995,                0.99468,                0.10352,                0.09662,                 0.7785,               0.004885,               0.004885,               0.004885
                    157,                0.20543,                0.17071,                0.88118,                0.99937,                      1,                  0.995,                0.99483,                0.10254,                0.09324,                0.77737,               0.004852,               0.004852,               0.004852
                    158,                0.20172,                0.16356,                0.88435,                 0.9994,                      1,                  0.995,                0.99476,                0.09567,                0.09099,                 0.7732,               0.004819,               0.004819,               0.004819
                    159,                0.20965,                0.16383,                0.87435,                0.99898,                      1,                  0.995,                  0.995,                0.09843,                 0.0948,                0.77511,               0.004786,               0.004786,               0.004786
                    160,                0.20705,                0.16248,                0.87946,                  0.999,                      1,                  0.995,                  0.995,                0.09273,                0.09603,                0.77379,               0.004753,               0.004753,               0.004753
                    161,                0.20109,                0.16382,                0.88317,                0.99934,                      1,                  0.995,                  0.995,                0.09295,                0.08802,                0.77199,                0.00472,                0.00472,                0.00472
                    162,                0.19789,                0.16614,                 0.8782,                0.99938,                      1,                  0.995,                  0.995,                0.08895,                0.09492,                0.77123,               0.004687,               0.004687,               0.004687
                    163,                0.19629,                 0.1597,                0.87447,                0.99938,                      1,                  0.995,                  0.995,                0.09434,                0.09308,                0.77373,               0.004654,               0.004654,               0.004654
